"GCM","rcp","proj.year","Act","Py","Fd","At","Ep","Pl","Sx","Pj","Acb","Sb","Bb","Bl","Bg","Cw","Dr","Mb","Hw","Ss","Ps","Bc","Pw","Yp","Oc","Lw","Ba","Bp","Yc","Hm"
"obs","obs",1975,63823,0,1018,60770,28597,79864,80611,0,0,2948,0,49700,0,179,105,0,948,105,0,0,0,0,0,0,2773,0,747,2606
"obs","obs",2005,58854,0,823,53651,26434,72792,77147,0,0,0,0,32586,0,147,97,0,927,97,0,0,0,0,0,0,2701,0,441,647
"ensemble","rcp45",2025,59970,0,301,54406,27554,63546,69694,0,0,0,0,38613,0,179,104,0,935,96,0,0,0,0,0,0,2175,0,77,109
"CanESM2","rcp45",2025,62332,0,1018,59178,27546,69307,78038,0,0,0,0,38517,0,179,49,0,948,0,0,0,0,0,0,0,2006,0,487,69
"CCSM4","rcp45",2025,60689,0,988,51564,24853,61033,73786,0,0,0,0,32211,0,179,98,0,924,51,0,0,0,0,0,0,1754,0,64,88
"CESM1-CAM5","rcp45",2025,56927,0,1017,53582,27830,74412,78541,0,0,0,0,35903,0,170,88,0,906,16,0,0,0,0,0,0,2160,0,402,402
"CSIRO-Mk3-6-0","rcp45",2025,58634,0,913,55187,27324,75141,78744,0,0,0,0,38961,0,155,88,0,897,42,0,0,0,0,0,0,2138,0,328,485
"GISS-E2R","rcp45",2025,62639,0,842,58274,26588,76810,78268,0,0,0,0,41867,0,153,96,0,868,96,0,0,0,0,0,0,2264,0,365,506
"HadGEM2-ES","rcp45",2025,59093,0,1018,55664,28061,63035,77472,0,0,0,0,34913,0,179,67,0,926,11,0,0,0,0,0,0,2358,0,168,66
"MIROC-ESM","rcp45",2025,63799,0,35,60410,28537,74558,76747,0,0,0,0,48361,0,173,99,0,887,99,0,0,0,0,0,0,2670,0,127,157
"MPI-ESM-LR","rcp45",2025,51904,0,95,48828,27433,62620,78279,0,0,0,0,45078,0,156,101,0,930,42,0,0,0,0,0,0,2556,0,483,778
"ensemble","rcp45",2055,63801,0,1005,58170,27509,68845,75821,0,0,0,0,39451,0,179,79,0,948,15,0,0,0,0,0,0,2026,0,415,13
"CanESM2","rcp45",2055,63822,0,1018,15332,1193,15717,79522,0,0,0,0,31609,0,179,2,0,948,0,0,0,0,0,0,0,739,0,445,47
"CCSM4","rcp45",2055,63557,0,1013,58203,28583,69115,74413,0,0,0,0,32669,0,179,85,0,948,26,0,0,0,0,0,0,1357,0,120,0
"CESM1-CAM5","rcp45",2055,63382,0,1015,58137,28591,70982,75316,0,0,0,0,39290,0,179,90,0,948,0,0,0,0,0,0,0,2367,0,501,13
"CSIRO-Mk3-6-0","rcp45",2055,62476,0,1018,58996,28574,70355,77842,0,0,0,0,25897,0,179,59,0,941,0,0,0,0,0,0,0,1922,0,435,54
"GISS-E2R","rcp45",2055,55655,0,895,49422,25981,69487,76322,0,0,0,0,47204,0,166,82,0,866,82,0,0,0,0,0,0,2516,0,295,413
"HadGEM2-ES","rcp45",2055,63594,0,1018,55069,25248,62190,78483,0,0,0,0,32145,0,179,55,0,948,0,0,0,0,0,0,0,956,0,358,0
"MIROC-ESM","rcp45",2055,63823,0,1011,59854,28514,73000,75074,0,0,0,0,45996,0,179,105,0,948,82,0,0,0,0,0,0,2654,0,178,0
"MPI-ESM-LR","rcp45",2055,63823,0,382,60293,28597,71590,74135,0,0,0,0,46901,0,178,105,0,948,41,0,0,0,0,0,0,2766,0,188,207
"ensemble","rcp45",2085,63800,0,1012,56994,28139,68510,75768,0,0,0,0,39406,0,179,96,0,948,23,0,0,0,0,0,0,1392,0,384,1
"CanESM2","rcp45",2085,63820,0,1013,12977,2148,19450,80142,0,0,0,0,32643,0,177,18,0,946,5,0,0,0,0,0,0,201,0,162,47
"CCSM4","rcp45",2085,63602,0,1014,58272,28566,71658,74153,0,0,0,0,38994,0,179,92,0,948,55,0,0,0,0,0,0,1244,0,85,0
"CESM1-CAM5","rcp45",2085,63766,0,1018,57650,28555,65272,75166,0,0,0,0,36601,0,179,89,0,948,1,0,0,0,0,0,0,1026,0,490,0
"CSIRO-Mk3-6-0","rcp45",2085,62417,0,1018,57523,28591,67585,75992,0,0,0,0,25726,0,179,76,0,948,6,0,0,0,0,0,0,1940,0,570,6
"GISS-E2R","rcp45",2085,55577,0,764,49594,25456,71409,78117,0,0,0,0,46365,0,177,48,0,834,29,0,0,0,0,0,0,1899,0,214,296
"HadGEM2-ES","rcp45",2085,63724,0,1018,47937,25829,58220,79014,0,0,0,0,36794,0,179,16,0,948,2,0,0,0,0,0,0,501,0,24,0
"MIROC-ESM","rcp45",2085,63823,0,1002,57790,28542,66879,72871,0,0,0,0,42116,0,179,104,0,948,39,0,0,0,0,0,0,2246,0,80,0
"MPI-ESM-LR","rcp45",2085,63823,0,685,60457,28577,71039,73413,0,0,0,0,45436,0,179,101,0,948,30,0,0,0,0,0,0,2693,0,248,84
